Smart Merge Target: 3, PitchProtected: True
Start|End|Speaker
00:00:00.030|00:00:32.633|1
00:00:32.920|00:00:33.240|2
00:00:33.696|00:00:47.365|1
00:00:47.736|00:00:48.057|3
00:00:49.339|00:01:03.970|1
00:01:03.970|00:01:06.231|4
00:01:06.231|00:01:08.661|5
00:01:10.399|00:01:10.973|4
00:01:10.737|00:01:12.795|1
00:01:12.795|00:01:13.757|6
00:01:13.791|00:01:14.601|1
00:01:14.230|00:01:15.327|7
00:01:15.023|00:01:15.360|6
00:01:16.356|00:01:30.025|1
00:01:30.160|00:06:51.966|5
00:06:51.966|00:06:58.615|8
00:06:59.459|00:08:34.195|9
00:08:34.195|00:08:37.924|1
00:08:39.780|00:08:50.024|8
00:08:50.024|00:10:50.815|5
00:10:53.447|00:10:58.139|1
00:10:59.843|00:12:02.837|5
00:12:07.174|00:12:11.359|1
00:12:13.502|00:13:14.843|5
00:13:16.885|00:13:29.693|1
00:13:30.199|00:14:10.969|9
00:14:10.969|00:14:15.036|10
00:14:15.036|00:14:42.644|1
00:14:44.702|00:15:08.108|9
00:14:44.719|00:14:45.023|11
00:15:09.947|00:15:13.795|1
00:15:15.887|00:15:23.161|9
00:15:24.915|00:15:30.383|1
00:15:30.417|00:15:49.806|9
00:15:49.806|00:15:57.974|5
00:15:57.974|00:16:00.741|8
00:16:01.838|00:16:16.283|1
00:16:18.359|00:17:11.296|9
00:17:14.401|00:17:22.973|1
00:17:24.998|00:17:33.419|9
00:17:33.655|00:17:44.067|5
00:17:43.544|00:17:48.859|1
00:17:50.682|00:17:54.664|9
00:17:56.892|00:17:59.288|4
00:18:01.532|00:18:06.038|12
00:18:06.038|00:18:27.638|9
00:18:27.638|00:18:34.962|5
00:18:34.962|00:18:52.022|8
00:18:52.022|00:19:12.374|5
00:19:12.374|00:19:45.331|9
00:19:12.711|00:19:13.116|13
00:19:46.664|00:20:11.520|1
00:20:12.027|00:20:35.719|9
00:20:36.462|00:20:39.567|1
00:20:39.567|00:20:41.052|9
00:20:41.356|00:20:51.599|1
00:20:53.117|00:21:19.223|9
00:21:21.079|00:21:52.585|1
00:21:52.534|00:22:17.037|8
00:22:17.037|00:25:24.687|5
00:25:27.252|00:25:56.986|1
00:25:58.049|00:26:00.293|5
00:26:01.238|00:26:04.394|1
00:26:10.266|00:26:13.979|5
00:26:13.979|00:26:15.362|9
00:26:15.362|00:28:14.804|5
00:28:17.301|00:29:13.967|9
00:29:13.967|00:29:14.828|12
00:29:16.229|00:29:21.578|1
00:29:23.215|00:29:29.290|9
00:29:29.712|00:29:32.969|5
00:29:32.969|00:29:40.022|8
00:29:40.022|00:29:45.389|5
00:29:48.781|00:31:01.512|1
00:31:02.406|00:31:06.034|12
00:31:06.034|00:31:48.677|9
00:31:49.707|00:32:25.330|5
00:32:25.330|00:32:25.684|3
00:32:25.954|00:33:10.892|5
00:33:11.770|00:33:12.209|14
00:33:15.094|00:33:49.502|1
00:33:52.456|00:33:57.721|5
00:33:57.721|00:34:11.373|1
00:34:11.625|00:34:12.047|15
00:34:12.250|00:34:43.486|1
00:34:43.722|00:34:44.093|9
00:34:44.262|00:34:44.886|1
00:34:46.793|00:35:50.108|9
00:35:52.302|00:36:23.520|5
00:36:25.512|00:36:48.715|1
00:36:48.867|00:37:30.464|5
00:37:33.738|00:38:17.494|1
00:38:17.815|00:38:25.038|12
00:38:25.038|00:38:32.969|9
00:38:32.969|00:38:34.369|12
00:38:34.623|00:38:35.028|16
00:38:35.028|00:38:36.496|1
00:38:35.618|00:38:35.922|16
00:38:39.128|00:39:09.014|1
00:39:10.532|00:39:14.026|4
00:39:14.026|00:39:20.185|17
00:39:20.185|00:39:21.197|4
00:39:21.197|00:39:21.738|17
00:39:21.738|00:39:23.037|4
00:39:23.037|00:39:29.028|12
00:39:29.028|00:40:02.339|9
00:40:03.351|00:40:07.182|1
00:40:05.343|00:40:08.279|9
00:40:11.215|00:40:13.763|1
00:40:14.286|00:40:55.664|5
00:40:56.288|00:41:07.696|1
00:41:08.522|00:41:09.468|9
00:41:09.552|00:41:11.847|18
00:41:10.902|00:41:11.239|11
